date,etl:adj_close,etl:adj_open,etl:adj_high,etl:adj_low,price:成交筆數,price:成交金額,foreign_investors_shareholding:全體外資及陸資持股比率,institutional_investors_trading_summary:外陸資買賣超股數(不含外資自營商),institutional_investors_trading_summary:外資自營商買賣超股數,institutional_investors_trading_summary:自營商買賣超股數(自行買賣),institutional_investors_trading_summary:自營商買賣超股數(避險),RSI,SMA,MACD,CMO,ATR,BBANDS_upper,BBANDS_mid,BBANDS_lower
2024-11-26,119.03571428571428,118.5204081632653,119.03571428571428,118.00510204081631,47.0,2148254.0,1.84,6000.0,0.0,0.0,0.0,26.909159566478795,26.909159566478795,26.909159566478795,26.909159566478795,26.909159566478795,116.095445115009,115.0,113.904554884991
2024-11-27,117.48979591836734,119.03571428571428,119.03571428571428,117.48979591836734,83.0,4540418.0,1.82,-12000.0,0.0,0.0,0.0,25.08242792847008,25.08242792847008,25.08242792847008,25.08242792847008,25.08242792847008,115.90000000000097,114.7,113.49999999999903
2024-11-28,117.48979591836734,118.00510204081631,118.00510204081631,114.91326530612244,125.0,8556216.0,1.81,-12000.0,0.0,0.0,0.0,25.082427928470075,25.082427928470075,25.082427928470075,25.082427928470075,25.082427928470075,115.90000000000097,114.7,113.49999999999903
2024-11-29,116.97448979591836,116.45918367346938,116.97448979591836,114.91326530612244,178.0,4359232.0,1.82,5000.0,0.0,0.0,0.0,24.441008873882865,24.441008873882865,24.441008873882865,24.441008873882865,24.441008873882865,115.86969384566862,114.4,112.93030615433139
2024-12-02,116.97448979591836,116.97448979591836,116.97448979591836,116.45918367346938,44.0,2472081.0,1.83,4000.0,0.0,0.0,0.0,24.441008873882865,24.441008873882865,24.441008873882865,24.441008873882865,24.441008873882865,115.56969384567108,114.1,112.6303061543289
2024-12-03,121.61224489795917,117.48979591836734,121.61224489795917,117.48979591836734,115.0,7564799.0,1.83,2000.0,0.0,101.0,0.0,40.36018096144728,40.36018096144728,40.36018096144728,40.36018096144728,40.36018096144728,118.02928563989781,114.6,111.17071436010218
2024-12-04,120.58163265306122,121.61224489795917,121.61224489795917,120.58163265306122,61.0,1530395.0,1.82,-4000.0,0.0,0.0,0.0,38.4228829003588,38.4228829003588,38.4228829003588,38.4228829003588,38.4228829003588,119.02622529394172,115.2,111.37377470605828
2024-12-05,126.76530612244898,122.64285714285714,130.8877551020408,122.64285714285714,314.0,24016254.0,1.8,-17000.0,0.0,0.0,0.0,53.000140603030346,53.000140603030346,53.000140603030346,53.000140603030346,53.000140603030346,124.01427116669987,117.0,109.98572883330013
2024-12-06,124.70408163265306,126.76530612244898,126.76530612244898,124.70408163265306,540.0,5074371.0,1.81,-1000.0,0.0,0.0,0.0,48.84892827270472,48.84892827270472,48.84892827270472,48.84892827270472,48.84892827270472,125.07267069006177,118.5,111.92732930993823
2024-12-09,124.18877551020407,125.21938775510203,125.73469387755101,123.67346938775509,212.0,3622786.0,1.8,-9000.0,0.0,0.0,0.0,47.84010579698003,47.84010579698003,47.84010579698003,47.84010579698003,47.84010579698003,124.20813184570649,119.9,115.59186815429352
2024-12-10,122.12755102040815,123.15816326530611,123.15816326530611,121.61224489795917,110.0,3609475.0,1.8,-1000.0,0.0,0.0,0.0,43.93184259928918,43.93184259928918,43.93184259928918,43.93184259928918,43.93184259928918,124.1472882706652,120.0,115.8527117293348
2024-12-11,122.64285714285714,122.12755102040815,123.67346938775509,122.12755102040815,58.0,2930089.0,1.8,0.0,0.0,1000.0,0.0,45.138500164775124,45.138500164775124,45.138500164775124,45.138500164775124,45.138500164775124,123.58747549010126,120.4,117.21252450989876
2024-12-12,122.64285714285714,122.64285714285714,122.64285714285714,121.61224489795917,53.0,2230777.0,1.8,1000.0,0.0,0.0,0.0,45.13850016477512,45.13850016477512,45.13850016477512,45.13850016477512,45.13850016477512,121.53907194296893,119.6,117.66092805703106
2024-12-13,121.0969387755102,122.64285714285714,123.15816326530611,120.58163265306122,75.0,4558551.0,1.79,-9000.0,0.0,0.0,0.0,41.99404041733927,41.99404041733927,41.99404041733927,41.99404041733927,41.99404041733927,120.83907194296519,118.9,116.96092805703482
2024-12-16,119.03571428571428,120.06632653061223,120.06632653061223,119.03571428571428,71.0,4401007.0,1.8,10000.0,0.0,0.0,0.0,38.175422648807405,38.175422648807405,38.175422648807405,38.175422648807405,38.175422648807405,120.53818119165305,117.9,115.26181880834696
2024-12-17,118.5204081632653,119.55102040816325,119.55102040816325,118.5204081632653,74.0,1728301.0,1.81,1000.0,0.0,0.0,0.0,37.263153834982205,37.263153834982205,37.263153834982205,37.263153834982205,37.263153834982205,120.5823069050579,117.2,113.8176930949421
2024-12-18,120.58163265306122,118.5204081632653,120.58163265306122,118.5204081632653,41.0,2048218.0,1.82,6000.0,0.0,0.0,0.0,43.11852584738789,43.11852584738789,43.11852584738789,43.11852584738789,43.11852584738789,119.67054001888111,116.8,113.92945998111888
2024-12-19,119.03571428571428,120.58163265306122,120.58163265306122,118.00510204081631,54.0,2615841.0,1.81,-4000.0,0.0,-1000.0,0.0,40.09594316050206,40.09594316050206,40.09594316050206,40.09594316050206,40.09594316050206,118.03907194296706,116.1,114.16092805703293
2024-12-20,118.5204081632653,119.03571428571428,119.03571428571428,118.5204081632653,36.0,2559851.0,1.8,-6000.0,0.0,0.0,0.0,39.11173978694175,39.11173978694175,39.11173978694175,39.11173978694175,39.11173978694175,117.06969384567108,115.6,114.1303061543289
2024-12-23,120.58163265306122,120.06632653061223,120.58163265306122,120.06632653061223,23.0,1345895.0,1.8,2000.0,0.0,0.0,0.0,44.93425472997732,44.93425472997732,44.93425472997732,44.93425472997732,44.93425472997732,117.73303027798052,115.9,114.0669697220195
2024-12-24,121.61224489795917,123.15816326530611,123.15816326530611,120.58163265306122,69.0,4418495.0,1.81,2000.0,0.0,0.0,0.0,47.63079975474988,47.63079975474988,47.63079975474988,47.63079975474988,47.63079975474988,118.69089023002132,116.5,114.30910976997868
2024-12-25,124.70408163265306,122.64285714285714,126.24999999999999,121.61224489795917,121.0,5936178.0,1.8,17000.0,0.0,0.0,0.0,54.78433918299406,54.78433918299406,54.78433918299406,54.78433918299406,54.78433918299406,121.57083130081314,117.3,113.02916869918685
2024-12-26,123.67346938775509,125.73469387755101,125.73469387755101,123.67346938775509,115.0,1119064.0,1.8,-3000.0,0.0,0.0,0.0,52.22354423246767,52.22354423246767,52.22354423246767,52.22354423246767,52.22354423246767,122.47083130081229,118.2,113.92916869918771
2024-12-27,122.12755102040815,122.64285714285714,122.64285714285714,121.0969387755102,73.0,4607380.0,1.78,-9000.0,0.0,0.0,0.0,48.557084478848225,48.557084478848225,48.557084478848225,48.557084478848225,48.557084478848225,121.75657137141648,118.9,116.04342862858353
2024-12-30,120.06632653061223,120.06632653061223,120.06632653061223,119.55102040816325,72.0,5491357.0,1.8,10000.0,0.0,0.0,0.0,44.11031925455745,44.11031925455745,44.11031925455745,44.11031925455745,44.11031925455745,121.93687742827223,118.8,115.66312257172777
2024-12-31,123.67346938775509,120.06632653061223,123.67346938775509,120.06632653061223,49.0,3161953.0,1.8,2000.0,0.0,0.0,0.0,52.33653251260372,52.33653251260372,52.33653251260372,52.33653251260372,52.33653251260372,122.33687742827107,119.2,116.06312257172894
2025-01-02,122.64285714285714,123.67346938775509,123.67346938775509,121.61224489795917,60.0,2833118.0,1.79,-10000.0,0.0,0.0,0.0,50.068998156943856,50.068998156943856,50.068998156943856,50.068998156943856,50.068998156943856,121.37681974534632,118.8,116.22318025465367
